epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
72,2917.56,1.41346,1.90709,1.02333,0.00953,0.96799,0.7954,0.79301,0.83863,0.52286,0.7997,0.78763,0.8327,0.4885,1.29133,1.93881,0.87139,0.01122,0,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,2957.43,1.3955,1.90896,0.98254,0.00927,0.93421,0.78922,0.78898,0.83098,0.51958,0.78893,0.78898,0.82899,0.4838,1.2923,1.96506,0.85464,0.01117,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,2997.18,1.37389,1.9044,0.98456,0.00918,0.94073,0.85041,0.76412,0.84022,0.52682,0.84218,0.75806,0.83096,0.48782,1.28838,1.95537,0.86142,0.01117,0,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,3037.05,1.37466,1.868,1.00846,0.00912,0.95156,0.81503,0.78226,0.8315,0.5182,0.80858,0.77823,0.82377,0.47622,1.28566,1.96546,0.86264,0.01107,0,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,3076.96,1.38517,1.89763,0.98324,0.00904,0.93228,0.80127,0.77688,0.82904,0.51174,0.79304,0.78226,0.82249,0.478,1.32202,1.97791,0.83672,0.01148,0,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,3116.84,1.37845,1.85351,0.98264,0.00922,0.90843,0.84524,0.76346,0.84271,0.52558,0.8378,0.75674,0.83349,0.4824,1.30907,1.95157,0.81587,0.01133,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,3156.79,1.38073,1.86869,1.01682,0.00909,0.94291,0.83143,0.78225,0.84435,0.5186,0.81819,0.78091,0.84291,0.48748,1.28339,1.95078,0.83632,0.01119,0,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,3196.63,1.37147,1.84173,0.97915,0.00914,0.91257,0.81991,0.81387,0.84872,0.53132,0.82475,0.82233,0.84858,0.50197,1.28307,1.96766,0.79019,0.01114,0,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,3236.42,1.38484,1.86295,0.96728,0.00931,0.93219,0.83097,0.79292,0.83553,0.52176,0.83226,0.79358,0.83963,0.48719,1.31516,1.96939,0.79738,0.0115,0,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,3276.53,1.38661,1.89667,0.97317,0.00932,0.94819,0.82137,0.76635,0.82707,0.51621,0.801,0.78987,0.8287,0.48239,1.30275,1.9455,0.84625,0.01133,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,3316.4,1.3871,1.86472,0.96304,0.00903,0.9026,0.83697,0.76594,0.83514,0.52727,0.83743,0.76882,0.83159,0.49013,1.28289,1.92897,0.85285,0.01112,0,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,3356.26,1.37618,1.84031,0.96688,0.00903,0.91272,0.81731,0.8078,0.84172,0.52613,0.81731,0.8078,0.83962,0.4889,1.26642,1.95518,0.84533,0.01089,0,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,3396.24,1.35982,1.84884,0.93841,0.00909,0.89535,0.81369,0.79245,0.84301,0.52584,0.79845,0.80242,0.83357,0.4935,1.31648,1.94208,0.80766,0.01141,0,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,3436.15,1.38681,1.85406,0.95524,0.00914,0.90334,0.83375,0.78868,0.84034,0.52612,0.82139,0.79435,0.83561,0.49164,1.27024,1.89361,0.82027,0.01099,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,3475.96,1.35959,1.82951,0.93225,0.009,0.88007,0.82636,0.7957,0.83222,0.52886,0.82281,0.7957,0.83737,0.49174,1.26713,1.92476,0.80394,0.01087,0,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,3516.03,1.35894,1.8472,0.94367,0.00906,0.87776,0.81729,0.79435,0.83854,0.5194,0.81547,0.80189,0.83157,0.48311,1.27899,1.93188,0.85321,0.01104,0,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,3555.98,1.35143,1.84243,0.93567,0.00882,0.87812,0.83532,0.77957,0.83398,0.52994,0.82534,0.79394,0.83417,0.49547,1.28549,1.92343,0.81502,0.01121,0,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,3595.89,1.34584,1.8144,0.94607,0.00898,0.88728,0.83668,0.80108,0.84363,0.52779,0.83038,0.7957,0.83746,0.49156,1.27051,1.96067,0.84548,0.01105,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,3635.77,1.33956,1.84932,0.91491,0.00881,0.86329,0.83388,0.78495,0.84572,0.53725,0.83457,0.78091,0.8419,0.49485,1.27811,1.94445,0.81308,0.01101,0,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,3675.75,1.33633,1.84041,0.94319,0.00886,0.90987,0.83325,0.79923,0.84004,0.52974,0.83393,0.79641,0.83217,0.49504,1.27484,1.94772,0.83725,0.01098,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,3715.85,1.34797,1.82634,0.95236,0.00897,0.87572,0.83563,0.79948,0.83983,0.52791,0.83142,0.79545,0.82902,0.49322,1.30589,1.96748,0.81354,0.01134,0,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,3756.53,1.35469,1.81409,0.94162,0.00899,0.88741,0.84073,0.78091,0.83525,0.52968,0.83692,0.78635,0.8369,0.49264,1.28213,1.95104,0.81141,0.01113,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
