epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
76,1955.14,1.12681,1.79921,0.77961,1.12113,0,0.84976,0.82866,0.8698,0.55958,0.86448,0.82124,0.86748,0.51145,1.18206,1.97035,0.75878,1.19491,0,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,1980.54,1.11772,1.78004,0.78239,1.12211,0,0.85355,0.82392,0.86606,0.55477,0.85434,0.82392,0.86666,0.50731,1.2099,1.98693,0.75161,1.2157,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,2005.87,1.12053,1.77823,0.78482,1.11983,0,0.83358,0.8483,0.87843,0.56354,0.86956,0.82258,0.87858,0.51734,1.18888,1.95334,0.75136,1.21141,0,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,2031.25,1.11292,1.76232,0.76523,1.11762,0,0.84619,0.83558,0.86692,0.55851,0.85172,0.83871,0.87004,0.51354,1.19205,1.9577,0.76751,1.20166,0,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,2056.52,1.12612,1.7894,0.78092,1.12726,0,0.86353,0.81645,0.8738,0.55533,0.83464,0.83871,0.87099,0.51235,1.21465,1.97174,0.75328,1.22785,0,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,2081.95,1.11626,1.7981,0.77412,1.1247,0,0.85613,0.84274,0.87678,0.55372,0.85689,0.84274,0.86991,0.51262,1.20384,1.98754,0.73769,1.21228,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,2107.35,1.13472,1.78595,0.76388,1.12606,0,0.85685,0.82064,0.85908,0.55001,0.85768,0.82619,0.86448,0.5037,1.18605,1.98877,0.75911,1.2036,0,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,2132.76,1.11583,1.75709,0.76149,1.11882,0,0.84141,0.8414,0.86316,0.5645,0.85005,0.84409,0.87014,0.51485,1.18031,2.01533,0.75583,1.20604,0,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,2159.53,1.0964,1.77161,0.74897,1.10791,0,0.85662,0.83468,0.8641,0.56207,0.85446,0.83199,0.86389,0.51441,1.19153,1.96885,0.75129,1.21079,0,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,2185.3,1.10806,1.77029,0.78181,1.10886,0,0.849,0.83468,0.86748,0.56159,0.84525,0.83333,0.8593,0.51535,1.18649,1.94302,0.75014,1.19289,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
